date, pm25, pm10, so2, co
2019/9/22, 15, 10, , 7
2019/9/23, 19, 12, , 4
2019/9/24, 17, 7, , 5
2019/9/25, 19, 11, , 
2019/9/26, 16, 7, , 6
2019/9/27, 11, 7, , 6
2019/9/28, 14, 7, , 6
2019/9/29, 12, 7, , 7
2019/9/30, 14, 9, , 8
2019/4/1, 23, 15, , 4
2019/4/2, 23, 16, , 4
2019/4/3, 23, 17, , 4
2019/4/4, 24, 18, , 4
2019/4/5, 26, 16, , 4
2019/4/6, 28, 11, , 4
2019/4/7, 22, 8, , 4
2019/4/8, 22, 4, , 4
2019/4/9, 17, 2, , 4
2019/4/10, 19, 3, , 4
2019/4/11, 31, 21, , 4
2019/4/12, 30, 24, , 4
2019/4/13, 39, 22, , 3
2019/4/14, 30, 15, , 3
2019/4/15, 15, 10, , 4
2019/4/16, 16, 7, , 4
2019/4/17, 13, 10, , 4
2019/4/18, 12, 11, , 3
2019/4/23, 26, 13, , 3
2019/4/24, 15, 9, , 3
2019/4/25, 9, 11, , 3
2019/4/26, 14, 9, , 3
2019/4/27, 16, 10, , 2
2019/4/28, 24, 9, , 3
2019/4/29, 13, 8, , 3
2019/4/30, 12, 7, , 3
2019/5/1, 12, 10, , 3
2019/5/2, 15, 8, , 4
2019/5/3, 14, 11, , 2
2019/5/4, 15, 13, , 2
2019/5/5, 18, 11, , 3
2019/5/6, 19, 9, , 3
2019/5/7, 10, 9, , 4
2019/5/8, 19, 7, , 3
2019/5/9, 14, 7, , 3
2019/5/10, 14, 6, , 2
2019/5/11, 12, 5, , 2
2019/5/12, 12, 8, , 3
2019/5/13, 12, 4, , 3
2019/5/14, 13, 8, , 3
2019/5/15, 13, 10, 114, 3
2019/5/16, 14, 8, , 3
2019/5/17, 14, 8, , 2
2019/5/18, 13, 9, , 1
2019/5/19, 12, 15, , 2
2019/5/20, 17, 16, , 3
2019/5/21, 22, 17, , 2
2019/5/22, 22, 15, 8, 4
2019/5/23, 18, 15, 1, 3
2019/5/24, 23, 14, 7, 3
2019/5/25, 16, 13, 8, 2
2019/5/26, 16, 12, 113, 1
2019/5/27, 17, 10, 3, 3
2019/5/28, 21, 11, 1, 3
2019/5/29, 17, 10, 1, 2
2019/5/30, 17, 12, 1, 2
2019/5/31, 17, 12, 1, 1
2019/6/1, 17, 13, , 1
2019/6/2, 17, 11, 1, 2
2019/6/3, 17, 6, 1, 2
2019/6/4, 10, 11, 1, 2
2019/6/5, 17, 13, 1, 2
2019/6/6, 18, 9, 1, 2
2019/6/7, 14, 10, 1, 1
2019/6/8, 17, 11, 1, 1
2019/6/9, 20, 9, 1, 2
2019/6/10, 16, 9, 1, 1
2019/6/11, 16, 7, 1, 2
2019/6/12, 14, 5, 1, 3
2019/6/13, 12, 8, 1, 3
2019/6/14, 13, 8, 1, 3
2019/6/15, 13, 10, 1, 3
2019/6/16, 12, 7, 1, 4
2019/6/17, 14, 13, 1, 4
2019/6/18, 19, 13, 1, 4
2019/6/19, 21, 9, 1, 4
2019/6/20, 13, 8, 1, 5
2019/6/21, 12, 10, 1, 5
2019/6/22, 17, 11, 1, 4
2019/6/23, 21, 10, 1, 5
2019/6/24, 21, 6, 1, 5
2019/6/25, 17, 7, 1, 6
2019/6/26, 18, 13, 2, 5
2019/6/27, 18, 10, 1, 5
2019/6/28, 16, 8, 1, 5
2019/6/29, 13, 8, 1, 4
2019/6/30, 12, 8, 1, 5
2019/1/1, 22, 17, , 3
2019/1/2, 17, 15, , 3
2019/1/3, 19, 12, , 3
2019/1/4, 15, 19, , 3
