date, pm25, pm10, o3, no2, co
2020/1/2, 180, 86, 39, 103, 54
2020/1/3, 110, 92, 39, 103, 78
2020/1/4, 123, 117, 25, 118, 72
2020/1/5, 210, 130, 56, 136, 75
2020/1/6, 253, 138, 65, 145, 82
2020/1/7, 281, 99, 36, 102, 45
2020/1/8, 153, 91, 36, 103, 61
2020/1/9, 124, 124, 35, 138, 75
2020/1/10, 233, 142, 31, 142, 77
2020/1/11, 291, 152, 31, 146, 86
2020/1/12, 309, 125, 23, 123, 56
2020/1/13, 230, 92, 23, 95, 39
2020/1/14, 120, 93, 49, 108, 44
2020/1/15, 125, 86, 79, 102, 31
2020/1/16, 113, , , , 
2019/10/1, 37, 38, 46, 14, 35
2019/10/2, 44, 56, 57, 14, 41
2019/10/3, 67, 63, 52, 16, 42
2019/10/4, 77, 52, 32, 11, 70
2019/10/5, 61, 77, 36, 10, 78
2019/10/6, 91, 80, 48, 40, 71
2019/10/7, 96, 86, 38, 112, 51
2019/10/8, 108, 80, 30, 118, 42
2019/10/9, 97, 91, 32, 116, 49
2019/10/10, 158, 83, 27, 94, 48
2019/10/11, 103, 75, 21, 59, 39
2019/10/12, 91, 76, 16, 69, 50
2019/10/13, 93, 86, 21, 88, 69
2019/10/14, 104, 81, 45, 90, 53
2019/10/15, 97, 89, 61, 78, 45
2019/10/16, 114, 103, 26, 94, 103
2019/10/17, 150, 120, 17, 97, 95
2019/10/18, 214, 97, 15, 88, 87
2019/10/19, 145, 74, 12, 85, 66
2019/10/20, 122, 40, 12, 103, 58
2019/10/21, 46, 60, 19, 101, 67
2019/10/22, 70, 67, 20, 99, 68
2019/10/23, 80, 72, 12, 59, 59
2019/10/24, 86, 63, 12, 59, 60
2019/10/25, 75, 66, 13, 60, 60
2019/10/26, 78, 88, 18, 59, 64
2019/10/27, 111, 119, 18, 52, 55
2019/10/28, 212, 85, 17, 51, 58
2019/10/29, 108, 85, 20, 60, 61
2019/10/30, 100, 66, 15, 63, 59
2019/10/31, 77, 81, 12, 60, 57
2019/11/1, 96, 70, 22, 56, 64
2019/11/2, 81, 80, 35, 49, 41
2019/11/3, 100, 78, 26, 56, 52
2019/11/4, 97, 82, 41, 61, 58
2019/11/5, 106, 64, 46, 63, 47
2019/11/6, 79, 60, 39, 73, 45
2019/11/7, 69, 42, 59, 57, 23
2019/11/8, 47, 54, 74, 51, 33
2019/11/9, 67, 48, 53, 57, 52
2019/11/10, 55, 64, 44, 70, 71
2019/11/11, 73, 71, 41, 84, 83
2019/11/12, 82, 75, 40, 88, 85
2019/11/13, 88, 92, 44, 95, 71
2019/11/14, 124, 97, 40, 120, 47
2019/11/15, 135, 106, 46, 100, 27
2019/11/16, 158, 111, 50, 88, 26
2019/11/17, 175, 110, 80, 92, 35
2019/11/18, 171, 123, 60, 119, 42
2019/11/19, 220, 134, 79, 146, 42
2019/11/20, 261, 147, 80, 193, 47
2019/11/21, 301, 130, 85, 130, 39
2019/11/22, 238, 113, 87, 113, 41
2019/11/23, 167, 110, 47, 139, 39
2019/11/24, 158, 113, 75, 96, 27
2019/11/25, 163, 129, 94, 112, 41
2019/11/26, 169, 141, 95, 88, 62
2019/11/27, 189, 137, 95, 82, 59
2019/11/28, 178, 132, 83, 123, 49
2019/11/29, 164, 133, 83, 114, 49
2019/11/30, 167, , , , 
2019/12/2, 191, 141, 83, 108, 49
2019/12/3, 191, 141, 83, 108, 49
2019/12/4, 191, 141, 83, 108, 49
2019/12/5, 191, 141, 83, 108, 49
2019/12/6, 191, 141, 83, 108, 49
2019/12/7, 191, 141, 83, 108, 49
2019/12/8, 191, 141, 83, 108, 49
2019/12/9, 191, 141, 83, 108, 49
2019/12/10, 191, 141, 83, 108, 49
2019/12/11, 191, 117, 101, 95, 38
2019/12/12, 162, 92, 93, 102, 22
2019/12/13, 120, 85, 79, 94, 32
2019/12/14, 105, 98, 97, 168, 51
2019/12/15, 136, 102, 70, 198, 52
2019/12/16, 146, 120, 53, 135, 66
2019/12/17, 213, 124, 54, 121, 55
2019/12/18, 232, 140, 52, 128, 56
2019/12/19, 292, 150, 56, 129, 58
2019/12/20, 308, 139, 40, 150, 59
2019/12/21, 281, 141, 34, 180, 59
2019/12/22, 291, 136, 65, 157, 79
2019/12/23, 267, 146, 70, 153, 89
2019/12/24, 294, 134, , 141, 67
2019/12/25, 258, 120, 41, 109, 30
2019/12/26, 215, 110, 64, 108, 49
2019/12/27, 179, 147, 88, 135, 56
2019/12/28, 304, 144, 18, 136, 72
2019/12/29, 301, , , , 
2019/7/1, 41, 31, 25, 41, 51
2019/7/2, 36, 43, 25, 35, 48
2019/7/3, 52, 49, 29, 32, 47
2019/7/4, 60, 56, 27, 32, 46
2019/7/5, 70, 41, 24, 32, 48
2019/7/6, 49, 37, 25, 38, 48
2019/7/7, 45, 39, 23, 32, 51
2019/7/8, 47, 38, 22, 39, 55
2019/7/9, 45, 34, 22, 34, 49
2019/7/10, 40, 28, 18, 40, 49
2019/7/11, 31, 39, 26, 33, 43
2019/7/12, 40, 48, 27, 29, 41
2019/7/13, 56, 47, 28, 26, 37
2019/7/14, 55, 43, 30, 25, 36
2019/7/15, 50, 54, 29, 25, 35
2019/7/16, 64, 47, 33, 26, 34
2019/7/17, 55, 53, 35, 27, 35
2019/7/18, 62, 62, 51, 32, 35
