date, pm25, o3, so2
2020/1/6, 43, 21, 2
2020/1/7, 38, 20, 2
2020/1/8, 25, 20, 1
2020/1/9, 27, 25, 2
2020/1/10, 37, 23, 1
2020/1/11, 20, 21, 
2020/1/12, 24, 21, 
2020/1/13, 19, 16, 
2019/10/1, 79, 37, 1
2019/10/4, 38, 32, 1
2019/10/5, 33, 23, 1
2019/10/6, 32, 25, 1
2019/10/7, 28, 31, 1
2019/10/8, 37, 31, 1
2019/10/9, 38, 28, 1
2019/10/10, 42, 18, 1
2019/10/11, 33, 26, 1
2019/10/12, 22, 29, 1
2019/10/13, 23, 26, 2
2019/10/14, 35, 19, 2
2019/10/15, 46, 18, 1
2019/10/16, 23, 21, 2
2019/10/17, 28, 23, 2
2019/10/18, 40, 32, 2
2019/10/19, 60, 30, 2
2019/10/20, 78, 27, 2
2019/10/21, 33, 23, 2
2019/10/22, 21, 27, 2
2019/10/23, 18, 21, 2
2019/10/24, 35, 14, 2
2019/10/25, 37, 15, 2
2019/10/26, 37, 25, 2
2019/10/27, 45, 12, 2
2019/10/28, 47, 10, 2
2019/10/29, 29, 7, 1
2019/10/30, 27, 17, 2
2019/10/31, 24, 22, 2
2019/11/1, 28, 19, 2
2019/11/2, 34, 25, 3
2019/11/3, 30, 21, 
2019/11/4, 37, 22, 2
2019/11/5, 40, 18, 3
2019/11/6, 48, 19, 3
2019/11/7, 38, 20, 2
2019/11/8, 25, 20, 2
2019/11/9, 40, 23, 2
2019/11/10, 46, 19, 1
2019/11/11, 38, 22, 1
2019/11/12, 18, 19, 2
2019/11/13, 46, 18, 2
2019/11/14, 42, 20, 1
2019/11/15, 53, 19, 
2019/11/16, 67, 16, 2
2019/11/17, 69, 11, 
2019/11/18, 59, , 
2019/12/1, 9, 22, 1
2019/12/2, 12, 19, 2
2019/12/3, 32, 22, 1
2019/12/4, 26, 17, 2
2019/12/5, 41, 20, 2
2019/12/6, 31, 17, 1
2019/12/7, 48, 26, 2
2019/12/8, 54, 19, 1
