date, pm10, no2, so2
2020/1/2, 34, 20, 1
2020/1/3, 33, 16, 
2020/1/4, 26, 7, 
2020/1/5, 9, 14, 
2020/1/6, 19, 19, 1
2020/1/7, 30, 19, 1
2020/1/8, 29, 22, 1
2020/1/9, 43, 18, 
2020/1/10, 37, 14, 
2020/1/11, 23, 14, 
2020/1/12, 21, 21, 1
2020/1/13, 35, 19, 
2020/1/14, 43, 21, 
2020/1/15, 46, 17, 
2020/1/16, 37, , 
2019/10/1, 4, 9, 
2019/10/2, 12, 4, 
2019/10/3, 7, 6, 1
2019/10/4, 10, 7, 
2019/10/5, 9, 2, 
2019/10/6, 8, 4, 
2019/10/7, 13, 8, 
2019/10/8, 16, 7, 
2019/10/9, 17, 9, 
2019/10/10, 10, 7, 
2019/10/11, 14, 9, 1
2019/10/12, 13, 7, 1
2019/10/13, 16, 10, 1
2019/10/14, 23, 7, 
2019/10/15, 22, 7, 
2019/10/16, 15, 9, 
2019/10/17, 18, 9, 
2019/10/18, 21, 6, 
2019/10/19, 15, 4, 1
2019/10/20, 14, 12, 1
2019/10/21, 23, 12, 1
2019/10/22, 26, 12, 1
2019/10/23, 25, 13, 1
2019/10/24, 23, 14, 1
2019/10/25, 27, 9, 1
2019/10/26, 23, 9, 1
2019/10/27, 20, 12, 1
2019/10/28, 20, 5, 
2019/10/29, 10, 6, 
2019/10/30, 9, 7, 
2019/10/31, 12, 5, 
2019/11/1, 17, 7, 1
2019/11/2, 21, 7, 1
2019/11/3, 11, 8, 1
2019/11/4, 11, 9, 1
2019/11/5, 9, 11, 1
2019/11/6, 9, 9, 1
2019/11/7, 8, 8, 
2019/11/8, 13, 8, 1
2019/11/9, 13, 7, 1
2019/11/10, 8, 11, 1
2019/11/11, 17, 9, 1
2019/11/12, 13, 8, 1
2019/11/13, 6, 13, 1
2019/11/14, 14, 8, 1
2019/11/15, 22, 8, 1
2019/11/16, 15, 5, 1
2019/11/17, 19, 9, 1
2019/11/18, 14, 14, 
2019/11/19, 27, 13, 
2019/11/20, 18, 11, 
2019/11/21, 14, 10, 
2019/11/22, 19, 8, 
2019/11/23, 21, 7, 
2019/11/24, 22, 10, 
2019/11/25, 10, 11, 
2019/11/26, 15, 10, 
2019/11/27, 17, 10, 
2019/11/28, 14, 12, 
2019/11/29, 15, 7, 
2019/11/30, 10, 8, 
2019/12/1, 15, 13, 
2019/12/2, 16, 18, 1
2019/12/3, 29, 16, 
2019/12/4, 27, 13, 
2019/12/5, 33, 14, 
2019/12/6, 38, 15, 
2019/12/7, 28, 14, 
2019/12/8, 22, 17, 1
2019/12/9, 24, 13, 
2019/12/10, 14, 18, 1
2019/12/11, 23, 20, 1
2019/12/12, 26, 18, 
2019/12/13, 25, 13, 1
2019/12/14, 20, 15, 1
2019/12/15, 18, 18, 5
2019/12/16, 18, 13, 
2019/12/17, 15, 18, 1
2019/12/18, 21, 16, 1
2019/12/19, 25, 11, 
2019/12/20, 27, 8, 
2019/12/21, 10, 11, 
2019/12/22, 10, 9, 
2019/12/23, 8, 8, 
2019/12/24, 8, 9, 
2019/12/25, 10, 10, 
2019/12/26, 11, 11, 
2019/12/27, 12, 4, 
2019/12/28, 8, , 
2019/7/1, 24, 4, 
2019/7/2, 16, 4, 
2019/7/3, 16, 3, 
2019/7/4, 17, 5, 
2019/7/5, 21, 4, 1
2019/7/6, 20, 4, 1
2019/7/7, 11, 5, 
2019/7/8, 11, 4, 
2019/7/9, 12, 5, 
2019/7/10, 16, 7, 1
2019/7/11, 19, 8, 
2019/7/12, 13, 4, 
2019/7/13, 8, 2, 
2019/7/14, 7, 4, 3
2019/7/15, 12, 5, 1
2019/7/16, 10, 6, 
2019/7/19, 16, 4, 
2019/7/20, 20, 3, 1
2019/7/21, 16, 4, 
2019/7/22, 14, 6, 
2019/7/23, 20, 4, 
2019/7/24, 24, 5, 
2019/7/25, 26, 6, 
2019/7/26, 26, 5, 
2019/7/27, 15, 2, 
2019/7/28, 11, 5, 
2019/7/29, 12, 5, 
2019/7/30, 14, 6, 1
2019/7/31, 14, 3, 
2019/8/1, 10, 7, 
2019/8/2, 13, 3, 1
2019/8/3, 9, 6, 1
2019/8/4, 8, 6, 1
2019/8/5, 15, 7, 1
2019/8/6, 17, 5, 1
2019/8/7, 19, 5, 1
2019/8/8, 9, 4, 1
2019/8/9, 15, 4, 
2019/8/10, 17, 2, 
2019/8/11, 11, 4, 1
2019/8/12, 16, 3, 1
2019/8/13, 9, 4, 
2019/8/14, 8, 4, 
2019/8/15, 11, 7, 1
2019/8/16, 11, 4, 1
2019/8/17, 10, 5, 
2019/8/18, 13, 5, 
2019/8/19, 20, 5, 
2019/8/20, 14, 3, 
2019/8/21, 9, 7, 
2019/8/22, 11, 9, 
2019/8/23, 21, 6, 
2019/8/24, 16, 4, 
2019/8/25, 13, 4, 
2019/8/26, 18, 5, 
2019/8/27, 20, 5, 
2019/8/28, 30, 6, 
2019/8/29, 28, 5, 
2019/8/30, 19, 6, 1
2019/8/31, 23, 4, 1
2019/9/1, 21, 5, 
2019/9/2, 10, 3, 
2019/9/3, 10, 7, 1
2019/9/4, 18, 6, 1
2019/9/5, 18, 5, 
2019/9/6, 11, 4, 
2019/9/7, 9, 4, 
2019/9/8, 8, 5, 
2019/9/9, 5, 4, 
2019/9/10, 11, 5, 
2019/9/11, 11, 6, 1
2019/9/12, 12, 7, 2
2019/9/13, 12, 5, 1
2019/9/14, 12, 3, 1
