date, pm25, pm10, no2, co
2020/1/2, 31, 10, 17, 5
2020/1/3, 24, 13, 4, 2
2020/1/4, 42, 11, 11, 3
2020/1/5, 31, 15, 15, 4
2020/1/6, 31, 14, 15, 3
2020/1/7, 31, 11, 19, 3
2020/1/8, 22, 19, 22, 4
2020/1/9, 28, 17, 12, 3
2020/1/10, 35, 9, 7, 3
2020/1/11, 18, 6, 8, 3
2020/1/12, 13, 13, 14, 4
2020/1/13, 38, 19, 17, 5
2020/1/14, 53, 18, 12, 4
2020/1/15, 48, 16, 6, 2
2020/1/16, 49, , , 
2019/10/1, 60, 31, 21, 4
2019/10/2, 50, 24, 22, 3
2019/10/3, 41, 14, 5, 2
2019/10/4, 15, 22, 11, 4
2019/10/5, 34, 19, 13, 4
2019/10/6, 45, 11, 11, 3
2019/10/7, 25, 14, 12, 3
2019/10/8, 33, 13, 15, 4
2019/10/9, 29, 19, 16, 5
2019/10/10, 41, 17, 18, 4
2019/10/11, 32, 11, 9, 2
2019/10/12, 21, 16, 18, 4
2019/10/13, 34, 19, 20, 4
2019/10/14, 28, 27, 23, 6
2019/10/15, 40, 12, 6, 1
2019/10/16, 22, 18, 10, 2
2019/10/17, 30, 24, 18, 5
2019/10/18, 45, 18, 18, 5
2019/10/19, 42, 15, 13, 3
2019/10/20, 39, 15, 12, 3
2019/10/21, 28, 13, 14, 3
2019/10/22, 18, 18, 22, 4
2019/10/23, 23, 21, 17, 3
2019/10/24, 26, 27, 12, 3
2019/10/25, 52, 10, 9, 3
2019/10/26, 23, 10, 8, 3
2019/10/27, 26, 23, 14, 5
2019/10/28, 52, 23, 21, 5
2019/10/29, 49, 16, 14, 4
2019/10/30, 45, 9, 7, 2
2019/10/31, 23, 20, 19, 4
2019/11/1, 41, 19, 11, 3
2019/11/2, 41, 18, 17, 4
2019/11/3, 37, 18, 21, 4
2019/11/4, 32, 18, 14, 3
2019/11/5, 44, 27, 19, 7
2019/11/6, 56, 13, 12, 3
2019/11/7, 41, 16, 10, 3
2019/11/8, 36, 22, 21, 6
2019/11/9, 48, 17, 20, 4
2019/11/10, 38, 21, 18, 4
2019/11/11, 46, 9, 5, 2
2019/11/12, 24, 21, 19, 4
2019/11/13, 49, 23, 19, 4
2019/11/14, 54, 31, 15, 3
2019/11/15, 71, 31, 10, 3
2019/11/16, 76, 35, 20, 5
2019/11/17, 82, 35, 19, 5
2019/11/18, 80, 31, 19, 5
2019/11/19, 65, 23, 12, 4
2019/11/20, 57, 21, 16, 4
2019/11/21, 47, 12, 10, 3
2019/11/22, 38, 11, 8, 2
2019/11/23, 35, 17, 13, 3
2019/11/24, 43, 19, 21, 4
2019/11/25, 41, 24, 20, 5
2019/11/26, 49, 12, 5, 2
2019/11/27, 25, 9, 4, 2
2019/11/28, 27, 12, 10, 3
2019/11/29, 34, 10, 9, 3
2019/11/30, 27, 7, 6, 2
2019/12/1, 14, 6, 4, 1
2019/12/2, 19, 11, 13, 3
2019/12/3, 33, 12, 13, 2
2019/12/4, 26, 24, 26, 6
2019/12/5, 36, 26, 24, 5
2019/12/6, 54, 20, 13, 3
2019/12/7, 57, 22, 16, 4
2019/12/8, 61, 17, 13, 3
2019/12/9, 45, 11, 5, 2
2019/12/10, 28, 22, 23, 5
2019/12/11, 38, 32, 25, 7
2019/12/12, 50, 19, 19, 4
2019/12/13, 43, 14, 8, 2
2019/12/14, 45, 23, 7, 3
2019/12/15, 64, 8, 9, 2
2019/12/16, 27, 14, 7, 2
2019/12/17, 48, 24, 14, 2
2019/12/18, 66, 35, 23, 6
2019/12/19, 74, 33, 28, 7
2019/12/20, 58, 27, 25, 8
2019/12/21, 62, 36, 24, 12
2019/12/22, 86, 18, 21, 5
2019/12/23, 47, 34, 22, 11
2019/12/24, 74, 25, 18, 9
2019/12/25, 62, 19, 19, 5
2019/12/26, 35, 22, 17, 3
2019/12/27, 49, 28, 8, 3
2019/12/28, 68, , , 
2019/7/1, 26, 21, 12, 4
2019/7/2, 50, 24, 17, 4
2019/7/3, 45, 17, 10, 3
2019/7/4, 40, 20, 13, 4
2019/7/5, 44, 20, 8, 2
2019/7/6, 51, 20, 8, 2
2019/7/7, 52, 17, 4, 2
2019/7/8, 53, 21, 10, 3
2019/7/9, 56, 29, 22, 5
2019/7/10, 59, 22, 9, 3
2019/7/11, 45, 15, 5, 2
2019/7/12, 29, 17, 11, 3
2019/7/13, 41, 14, 8, 2
2019/7/14, 29, 30, 13, 3
2019/7/15, 46, 21, 10, 3
2019/7/16, 33, 12, 10, 2
2019/7/17, 29, 15, 11, 3
2019/7/18, 35, 19, 16, 3
2019/7/19, 45, 17, 12, 3
2019/7/20, 40, 14, 9, 2
2019/7/21, 31, 11, 7, 2
2019/7/22, 24, 13, 3, 2
2019/7/23, 29, 17, 7, 2
2019/7/24, 41, 19, 14, 3
2019/7/25, 46, 21, 19, 4
2019/7/26, 46, 21, 14, 4
2019/7/27, 52, 22, 13, 4
2019/7/28, 57, 24, 15, 4
2019/7/29, 51, 16, 10, 3
2019/7/30, 41, 18, 10, 3
2019/7/31, 36, 15, 5, 2
2019/8/1, 35, 17, 7, 3
2019/8/2, 45, 18, 7, 3
2019/8/3, 50, 18, 6, 3
2019/8/4, 48, 23, 12, 3
2019/8/5, 53, 25, 17, 4
2019/8/6, 56, 12, 8, 2
2019/8/7, 30, 17, 11, 3
2019/8/8, 38, 17, 8, 2
2019/8/9, 35, 15, 5, 2
2019/8/10, 31, 16, 7, 3
2019/8/11, 35, 23, 20, 4
2019/8/12, 43, 14, 14, 3
2019/8/13, 30, 15, 10, 2
2019/8/14, 31, 14, 7, 2
2019/8/15, 24, 19, 14, 3
2019/8/16, 35, 22, 14, 4
2019/8/17, 45, 18, 12, 3
2019/8/18, 44, 19, 9, 3
2019/8/19, 43, 23, 18, 4
2019/8/20, 41, 15, 12, 3
2019/8/21, 29, 12, 11, 2
2019/8/22, 24, 13, 9, 3
2019/8/23, 32, 10, 7, 2
2019/8/24, 23, 11, 8, 3
2019/8/25, 28, 11, 10, 3
2019/8/26, 21, 12, 9, 3
2019/8/27, 24, 18, 8, 3
2019/8/28, 30, 23, 16, 4
2019/8/29, 30, 20, 19, 3
2019/8/30, 32, 16, 11, 3
2019/8/31, 34, 15, 7, 3
2019/9/1, 38, 14, 6, 3
2019/9/2, 37, 16, 13, 3
2019/9/3, 33, 22, 12, 3
2019/9/4, 43, 14, 4, 2
2019/9/5, 28, 22, 10, 3
2019/9/6, 37, 12, 3, 2
2019/9/7, 27, 15, 7, 3
2019/9/8, 39, 19, 15, 4
2019/9/9, 37, 25, 17, 4
2019/9/10, 44, 26, 19, 4
2019/9/11, 54, 32, 20, 4
2019/9/12, 60, 34, 19, 4
2019/9/13, 61, 15, 5, 2
2019/9/14, 17, 16, 12, 4
2019/9/15, 27, 30, 16, 4
2019/9/16, 48, 18, 8, 2
2019/9/17, 38, 18, 9, 2
2019/9/18, 41, 25, 16, 4
2019/9/19, 47, 24, 22, 4
2019/9/20, 49, 25, 19, 4
2019/9/21, 49, 22, 16, 3
2019/9/22, 39, 15, 9, 2
2019/9/23, 27, 19, 12, 3
2019/9/24, 28, 25, 25, 4
2019/9/25, 37, 18, 7, 2
2019/9/26, 26, 26, 21, 5
2019/9/27, 39, 26, 18, 4
