date, pm25, pm10, o3
2019/5/7, 29, , 29
2019/5/8, 13, 8, 35
2019/5/9, 13, 9, 40
2019/5/10, 16, 11, 34
2019/5/11, 23, 4, 30
2019/5/12, 14, 15, 39
2019/5/13, 23, 17, 43
2019/5/14, 28, 27, 48
2019/5/15, 33, 33, 44
2019/5/16, 27, 12, 22
2019/5/17, 25, 10, 32
2019/5/18, 21, 3, 26
2019/5/19, 11, 6, 28
2019/5/20, 10, 4, 29
2019/5/21, 10, 3, 28
2019/5/22, 13, 6, 25
2019/5/23, 9, , 
2019/5/26, 16, 5, 36
2019/5/27, 13, 5, 30
2019/5/28, 15, 5, 37
2019/5/29, 14, 23, 48
2019/5/30, 41, 37, 50
2019/5/31, 69, 26, 37
2019/6/1, 42, 25, 44
2019/6/2, 37, 18, 44
2019/6/3, 30, 29, 50
2019/6/4, 25, 36, 55
2019/6/5, 30, 43, 59
2019/6/6, 39, 39, 53
2019/6/7, 32, 44, 52
2019/6/8, 37, 12, 30
2019/6/9, 24, 20, 30
2019/6/10, 24, 11, 31
2019/6/11, 22, 19, 37
2019/6/12, 21, , 42
2019/6/13, 22, 44, 44
2019/6/14, 23, 38, 40
2019/6/15, 23, 18, 42
2019/6/16, 23, 19, 36
2019/6/17, 36, 18, 36
2019/6/18, 29, 20, 42
2019/6/19, 35, 12, 36
2019/6/20, 36, 8, 41
2019/6/21, 9, 12, 29
2019/6/22, 20, 8, 35
2019/6/23, 15, 9, 38
2019/6/24, 13, 13, 36
2019/6/25, 15, 12, 47
2019/6/26, 10, 24, 33
2019/6/27, 32, 45, 31
2019/6/28, 61, 41, 42
2019/6/29, 53, 39, 41
2019/6/30, 49, 38, 39
2019/1/1, 13, 7, 30
2019/1/2, 13, 6, 24
2019/1/3, 14, 5, 25
2019/1/4, 15, 4, 22
2019/1/5, 11, 7, 20
2019/1/6, 26, 6, 24
2019/1/7, 24, 6, 29
2019/1/8, 12, 6, 27
2019/1/9, 16, 14, 19
2019/1/10, 23, 17, 10
2019/1/11, 34, 29, 11
2019/1/12, 64, 20, 26
2019/1/13, 50, 7, 20
2019/1/14, 29, 9, 17
2019/1/15, 29, 11, 21
2019/1/16, 53, 12, 20
2019/1/17, 37, 14, 29
2019/1/18, 26, 13, 30
2019/1/19, 22, 8, 28
2019/1/20, 21, 12, 30
2019/1/21, 29, 14, 30
2019/1/22, 47, 9, 29
2019/1/23, 26, 21, 29
2019/1/24, 25, 9, 28
2019/1/25, 15, 11, 30
2019/1/26, 25, 13, 24
2019/1/27, 48, 16, 31
2019/1/28, 25, 15, 33
2019/1/29, 15, 5, 32
2019/1/30, 15, 17, 24
2019/1/31, 39, 23, 22
2019/2/1, 47, 13, 23
2019/2/2, 39, 13, 17
2019/2/3, 44, 10, 30
2019/2/4, 21, 5, 30
2019/2/5, 17, 14, 29
2019/2/6, 29, 39, 32
2019/2/7, 18, 46, 32
2019/2/8, 18, 26, 30
2019/2/9, 18, 12, 28
2019/2/10, 32, 22, 27
2019/2/11, 72, 25, 35
2019/2/12, 54, 16, 32
2019/2/13, 49, 41, 33
2019/2/14, 47, 11, 29
2019/2/15, 28, 11, 32
2019/2/16, 26, 17, 41
2019/2/17, 36, 8, 37
2019/2/18, 23, 13, 37
2019/2/19, 44, 20, 42
2019/2/20, 60, 17, 45
2019/2/21, 54, 20, 47
2019/2/22, 59, 24, 50
2019/2/23, 68, 46, 6
2019/2/24, 30, 18, 2
2019/2/25, 16, 10, 2
2019/2/26, 26, 14, 2
2019/2/27, 36, 10, 
2019/2/28, 35, 22, 
2019/3/1, 64, 14, 6
2019/3/2, 31, 12, 
2019/3/3, 27, 11, 
2019/3/4, 20, 10, 
2019/3/5, 19, , 
2019/3/20, 29, 8, 39
2019/3/21, 22, 8, 38
2019/3/22, 24, 9, 32
