date, pm25, pm10, no2, co
2020/1/2, 39, 23, 12, 5
2020/1/3, 52, 16, 8, 5
2020/1/4, 50, 3, 1, 1
2020/1/5, 9, 14, 9, 3
2020/1/6, 29, 19, 11, 4
2020/1/7, 36, 14, 6, 2
2020/1/8, 33, 10, 4, 2
2020/1/9, 16, 19, 12, 4
2020/1/10, 39, 20, 5, 2
2020/1/11, 40, 11, 1, 1
2020/1/12, 21, 17, 6, 2
2020/1/13, 35, 19, 7, 4
2020/1/14, 51, 15, 6, 3
2020/1/15, 39, 20, 12, 6
2020/1/16, 53, , , 
2019/10/1, 31, 16, 6, 3
2019/10/2, 35, 9, 3, 1
2019/10/3, 19, 8, 2, 1
2019/10/4, 15, 8, 3, 2
2019/10/5, 17, 15, 5, 3
2019/10/6, 32, 14, 5, 2
2019/10/7, 23, 10, 4, 2
2019/10/8, 21, 10, 2, 1
2019/10/9, 22, 8, 1, 1
2019/10/10, 15, 10, 1, 1
2019/10/11, 17, 8, 2, 2
2019/10/12, 18, 12, 4, 3
2019/10/13, 29, 17, 8, 3
2019/10/14, 42, 11, 6, 3
2019/10/15, 22, 15, 7, 3
2019/10/16, 32, 4, 3, 2
2019/10/17, 6, 5, 1, 1
2019/10/18, 8, 9, 5, 3
2019/10/19, 22, 14, 6, 4
2019/10/20, 43, 14, 5, 3
2019/10/21, 36, 12, 6, 2
2019/10/22, 32, 9, 4, 2
2019/10/23, 16, 17, 10, 4
2019/10/24, 28, 24, 12, 5
2019/10/25, 48, 13, 6, 3
2019/10/26, 32, 8, 4, 2
2019/10/27, 19, 7, 3, 1
2019/10/28, 12, 7, 5, 2
2019/10/29, 15, 9, 5, 2
2019/10/30, 23, 16, 5, 2
2019/10/31, 32, 8, 2, 1
2019/11/1, 14, 12, 7, 3
2019/11/2, 31, 14, 6, 4
2019/11/3, 39, 13, 10, 4
2019/11/4, 29, 17, 13, 5
2019/11/5, 38, 16, 9, 4
2019/11/6, 34, 20, 12, 5
2019/11/7, 46, 5, 2, 1
2019/11/8, 9, 9, 8, 3
2019/11/9, 21, 16, 11, 5
2019/11/10, 44, 26, 11, 4
2019/11/11, 62, 10, 3, 1
2019/11/12, 26, 6, 2, 1
2019/11/13, 10, 18, 13, 4
2019/11/14, 41, 22, 12, 6
2019/11/15, 52, 9, 2, 1
2019/11/16, 16, 10, 2, 1
2019/11/17, 21, 10, 2, 1
2019/11/18, 21, 8, 5, 2
2019/11/19, 22, 6, 3, 1
2019/11/20, 16, 11, 6, 3
2019/11/21, 26, 15, 6, 2
2019/11/22, 37, 8, 5, 3
2019/11/23, 19, 8, 4, 2
2019/11/24, 26, 21, 7, 4
2019/11/25, 58, 25, 13, 5
2019/11/26, 59, 26, 10, 5
2019/11/27, 60, 4, 1, 1
2019/11/28, 9, 4, 2, 1
2019/11/29, 9, 6, 3, 1
2019/11/30, 17, 11, 4, 2
2019/12/1, 32, 5, 2, 1
2019/12/2, 13, 7, 4, 1
2019/12/3, 15, 30, 13, 5
2019/12/4, 47, 13, 6, 3
2019/12/5, 36, 19, 10, 4
2019/12/6, 32, 6, 3, 1
2019/12/7, 15, 18, 11, 4
2019/12/8, 35, 16, 13, 6
2019/12/9, 43, 16, 7, 3
2019/12/10, 40, 11, 5, 2
2019/12/11, 22, 20, 6, 3
2019/12/12, 34, 19, 11, 4
2019/12/13, 55, 6, 5, 3
2019/12/14, 19, 5, 2, 2
2019/12/15, 11, 7, 4, 1
2019/12/16, 19, 9, 4, 1
2019/12/17, 27, 13, 6, 2
2019/12/18, 27, 13, 1, 1
2019/12/19, 22, 10, 4, 1
2019/12/20, 20, 21, 9, 4
2019/12/21, 43, 49, 12, 7
2019/12/22, 89, 40, 14, 6
2019/12/23, 69, 13, 5, 2
2019/12/24, 31, 20, 9, 4
2019/12/25, 47, 22, 8, 3
2019/12/26, 55, 20, 10, 4
2019/12/27, 40, 15, 6, 3
2019/12/28, 42, , , 
2019/7/1, 34, 17, 6, 2
2019/7/2, 32, 21, 7, 3
2019/7/3, 49, 22, 3, 3
2019/7/4, 61, 19, 6, 3
2019/7/5, 49, 16, 4, 3
2019/7/6, 43, 19, 1, 2
2019/7/7, 50, 14, 4, 2
2019/7/8, 33, 17, 5, 2
2019/7/9, 37, 19, 7, 3
2019/7/10, 45, 20, 7, 3
2019/7/11, 48, 11, 2, 1
2019/7/12, 26, 12, 2, 2
2019/7/13, 36, 14, 3, 2
2019/7/14, 39, 11, 2, 1
2019/7/15, 24, 19, 8, 3
2019/7/16, 41, 20, 8, 3
2019/7/17, 45, 14, 3, 2
2019/7/18, 33, 16, 6, 3
2019/7/19, 41, 17, 4, 3
2019/7/20, 48, 11, 2, 2
2019/7/21, 29, 14, 2, 1
2019/7/22, 29, 7, 2, 1
2019/7/23, 15, 14, 2, 1
2019/7/24, 32, 14, 5, 2
2019/7/25, 33, 17, 6, 3
2019/7/26, 43, 15, 5, 3
2019/7/27, 36, 16, 4, 3
2019/7/28, 45, 20, 7, 3
2019/7/29, 54, 26, 8, 4
2019/7/30, 64, 21, 9, 4
2019/7/31, 50, 15, 4, 2
2019/8/1, 36, 16, 6, 2
2019/8/2, 33, 15, 6, 3
2019/8/3, 38, 13, 2, 2
2019/8/4, 37, 14, 4, 2
2019/8/5, 31, 18, 8, 3
2019/8/6, 43, 17, 7, 3
2019/8/7, 42, 15, 7, 3
2019/8/8, 34, 11, 4, 2
2019/8/9, 26, 8, 1, 1
2019/8/10, 15, 8, 2, 2
2019/8/11, 19, 14, 6, 3
2019/8/12, 30, 18, 8, 3
2019/8/13, 45, 18, 3, 2
2019/8/14, 49, 17, 6, 3
2019/8/15, 44, 14, 6, 3
2019/8/16, 33, 10, 3, 2
2019/8/17, 25, 14, 4, 3
2019/8/18, 35, 13, 7, 3
2019/8/19, 30, 13, 4, 2
2019/8/20, 30, 15, 9, 3
2019/8/21, 38, 16, 5, 3
2019/8/22, 39, 12, 2, 1
2019/8/23, 24, 10, 2, 1
2019/8/24, 20, 9, 1, 1
2019/8/25, 19, 11, 3, 2
2019/8/26, 23, 15, 7, 3
2019/8/27, 29, 12, 5, 2
2019/8/28, 24, 13, 2, 1
2019/8/29, 23, 18, 7, 3
2019/8/30, 33, 10, 2, 1
2019/8/31, 21, 10, 3, 2
2019/9/1, 22, 10, 3, 2
2019/9/2, 21, 13, 5, 2
2019/9/3, 30, 14, 7, 3
2019/9/4, 36, 10, 3, 2
2019/9/5, 19, 11, 3, 2
2019/9/6, 23, 9, 2, 2
2019/9/7, 20, 8, 2, 2
2019/9/8, 18, 11, 4, 2
2019/9/9, 21, 12, 6, 3
2019/9/10, 26, 19, 7, 3
2019/9/11, 38, 15, 4, 2
2019/9/12, 34, 12, 4, 2
2019/9/13, 23, 18, 5, 3
2019/9/14, 32, 11, 4, 3
2019/9/15, 25, 11, 3, 1
2019/9/16, 22, 11, 4, 2
2019/9/17, 19, 10, 3, 1
2019/9/18, 19, 12, 6, 2
2019/9/19, 24, 18, 8, 4
2019/9/20, 36, 17, 7, 5
2019/9/21, 42, 20, 7, 5
2019/9/22, 51, 24, 8, 3
2019/9/23, 54, 9, 2, 1
2019/9/24, 16, 11, 5, 2
2019/9/25, 25, 17, 8, 3
2019/9/26, 36, 12, 7, 3
2019/9/27, 23, 14, 6, 3
2019/9/28, 29, 9, 2, 1
2019/9/29, 20, 11, 3, 2
2019/9/30, 20, 16, 7, 3
2019/4/1, 14, 14, 10, 4
2019/4/2, 26, 13, 2, 1
2019/4/3, 26, 10, 2, 1
2019/4/4, 17, 14, 6, 2
2019/4/5, 28, 11, 3, 2
2019/4/6, 33, 14, 7, 3
2019/4/7, 40, 13, 4, 2
2019/4/8, 33, 14, 5, 2
2019/4/9, 41, 9, 4, 2
2019/4/10, 21, 9, 4, 2
2019/4/11, 19, 18, 9, 3
2019/4/12, 32, 13, 5, 3
2019/4/13, 31, 14, 4, 3
2019/4/14, 35, 7, 4, 2
2019/4/15, 14, 6, 1, 1
2019/4/16, 9, 7, 4, 2
2019/4/17, 11, 17, 9, 3
2019/4/18, 29, 23, 4, 2
2019/4/19, 43, 15, 3, 2
2019/4/20, 29, 12, 5, 3
2019/4/21, 26, 12, 5, 2
2019/4/22, 30, 11, 4, 2
2019/4/23, 23, 10, 4, 1
2019/4/24, 23, 10, 5, 2
2019/4/25, 18, 9, 5, 2
2019/4/26, 20, 5, 1, 1
2019/4/27, 9, 9, 4, 2
2019/4/28, 23, 10, 6, 2
2019/4/29, 22, 9, 5, 2
2019/4/30, 23, 13, 9, 3
2019/5/1, 29, 12, 5, 2
2019/5/2, 33, 16, 7, 3
2019/5/3, 38, 17, 4, 3
2019/5/4, 44, 13, 2, 2
2019/5/5, 27, 9, 3, 1
2019/5/6, 15, 14, 7, 2
2019/5/7, 25, 10, 2, 1
2019/5/8, 18, 13, 6, 2
2019/5/9, 21, 18, 8, 3
2019/5/10, 34, 9, 1, 1
2019/5/11, 16, 7, 2, 1
2019/5/12, 15, 9, 4, 1
2019/5/13, 18, 6, 2, 1
2019/5/14, 12, 8, 3, 1
2019/5/15, 15, 13, 6, 2
2019/5/16, 26, 23, 13, 4
2019/5/17, 52, 9, 2, 1
2019/5/18, 20, 16, 4, 2
2019/5/19, 36, 24, 6, 3
2019/5/20, 50, 11, 1, 1
2019/5/21, 14, 10, 3, 1
2019/5/22, 14, 16, 7, 3
2019/5/23, 30, 12, 2, 1
2019/5/24, 19, 10, 4, 2
2019/5/25, 21, 11, 2, 2
2019/5/26, 25, 10, 1, 1
2019/5/27, 23, 13, 4, 2
2019/5/28, 24, 10, 4, 2
2019/5/29, 19, 13, 7, 3
2019/5/30, 31, 19, 5, 3
2019/5/31, 48, 19, 6, 3
2019/6/1, 50, 16, 4, 3
2019/6/2, 43, 14, 2, 1
2019/6/3, 26, 11, 4, 2
2019/6/4, 15, 24, 8, 3
2019/6/5, 45, 16, 3, 2
2019/6/6, 36, 14, 5, 2
2019/6/7, 28, 15, 4, 2
2019/6/8, 30, 12, 4, 2
2019/6/9, 25, 15, 6, 2
2019/6/10, 24, 11, 3, 1
2019/6/11, 16, 11, 5, 2
2019/6/12, 22, 8, 3, 1
2019/6/13, 14, 12, 5, 2
2019/6/14, 24, 16, 5, 3
2019/6/15, 28, 20, 5, 3
2019/6/16, 47, 13, 4, 2
2019/6/17, 34, 15, 7, 3
2019/6/18, 39, 15, 6, 3
2019/6/19, 35, 12, 7, 3
2019/6/20, 27, 12, 2, 1
2019/6/21, 26, 11, 3, 1
2019/6/22, 19, 12, 3, 2
2019/6/23, 27, 16, 6, 3
2019/6/24, 34, 15, 8, 3
2019/6/25, 35, 16, 5, 2
2019/6/26, 35, 15, 3, 2
2019/6/27, 33, 18, 6, 3
2019/6/28, 38, 18, 6, 3
2019/6/29, 45, 10, 1, 1
2019/6/30, 25, 13, 2, 1
2019/1/1, 21, 9, 6, 3
2019/1/2, 23, 10, 7, 2
2019/1/3, 27, 20, 10, 4
2019/1/4, 48, 17, 8, 3
2019/1/5, 50, 12, 6, 3
2019/1/6, 33, 8, 3, 1
