date, pm25, pm10, no2, so2
2019/10/1, 60, 20, 11, 
2019/10/2, 55, 17, 12, 
2019/10/3, 46, 15, 10, 1
2019/10/4, 42, 16, 5, 
2019/10/5, 31, 15, 4, 
2019/10/6, 42, 13, 8, 
2019/10/7, 25, 9, 9, 
2019/10/8, 19, 7, 7, 1
2019/10/9, 13, 12, 9, 
2019/10/10, 25, 13, 13, 1
2019/10/11, 31, 14, 8, 
2019/10/12, 35, 9, 6, 
2019/10/13, 26, 10, 10, 
2019/10/14, 25, 12, 10, 
2019/10/15, 29, 6, 7, 
2019/10/16, 18, 8, 8, 
2019/10/17, 14, , , 
2019/10/22, 17, 11, 12, 
2019/10/23, 20, 12, 12, 1
2019/10/24, 31, 14, 10, 1
2019/10/25, 32, 12, 5, 
2019/10/26, 25, 6, 6, 
2019/10/27, 20, 12, 12, 
2019/10/28, 34, 15, 7, 
2019/10/29, 49, 6, 6, 
2019/10/30, 19, 7, 3, 
2019/10/31, 11, 7, 7, 
2019/11/1, 26, 8, 6, 
2019/11/2, 35, 9, 7, 1
2019/11/3, 32, 13, 11, 
2019/11/4, 53, 15, 12, 
2019/11/5, 45, 14, 11, 1
2019/11/6, 48, 12, 10, 1
2019/11/7, 51, 5, 4, 
2019/11/8, 15, 10, 8, 1
2019/11/9, 37, 17, 11, 1
2019/11/10, 61, 15, 9, 1
2019/11/11, 50, 7, 4, 
2019/11/12, 26, 7, 9, 1
2019/11/13, 24, 12, 14, 1
2019/11/14, 45, 10, 9, 1
2019/11/15, 38, 8, 4, 1
2019/11/16, 22, 8, 9, 1
2019/11/17, 21, 11, 9, 1
2019/11/18, 35, 13, 7, 
2019/11/19, 41, 9, 12, 1
2019/11/20, 35, 12, 10, 1
2019/11/21, 42, 17, 7, 1
2019/11/22, 59, 10, 7, 
2019/11/23, 41, 4, 6, 
2019/11/24, 14, 12, 14, 1
2019/11/25, 39, 15, 13, 1
2019/11/26, 53, 15, 9, 1
2019/11/27, 49, 9, 10, 1
2019/11/28, 30, 10, 6, 1
2019/11/29, 27, 16, 6, 1
2019/11/30, 56, 8, 3, 
2019/12/1, 24, 6, 3, 
2019/12/2, 9, 6, 8, 
2019/12/3, 22, 9, 7, 1
2019/12/4, 26, 14, 14, 1
2019/12/5, 30, 20, 18, 1
2019/12/6, 61, 16, 12, 1
2019/12/7, 51, 8, 5, 1
2019/12/8, 29, 8, 10, 1
2019/12/9, 29, 13, 8, 
2019/12/10, 37, 3, 5, 
2019/12/11, 7, 8, 11, 1
2019/12/12, 27, 3, 5, 
2019/12/13, 11, 3, 3, 
2019/12/14, 10, 10, 6, 
2019/12/15, 34, 13, 8, 
2019/12/16, 43, 7, 8, 
2019/12/17, 32, 5, 6, 1
2019/12/18, 15, 10, 13, 1
2019/12/19, 34, 17, 19, 1
2019/12/20, 57, 17, 13, 1
2019/12/21, 65, 13, 8, 1
2019/12/22, 49, 2, 2, 
2019/12/23, 5, 5, 6, 
2019/12/24, 12, 12, 10, 1
2019/12/25, 38, 16, 15, 
